Team Names,Map Played,Agents Played,Map Results,Economy Rating
"['Evil Geniuses', 'LOUD']","['Ascent', 'Icebox', 'Sunset']","['omen', 'jett', 'sova', 'cypher', 'kayo', 'breach', 'omen', 'kayo', 'viper', 'phoenix', 'cypher', 'killjoy', 'omen', 'viper', 'kayo', 'breach', 'omen', 'harbor', 'viper', 'breach', 'sova', 'phoenix', 'jett', 'killjoy', 'deadlock', 'gekko', 'viper', 'kayo', 'harbor', 'viper', 'sova', 'jett', 'killjoy', 'fade', 'cypher', 'breach', 'raze', 'omen', 'viper', 'sova', 'omen', 'breach', 'phoenix']",['13'],[]
"['Evil Geniuses', 'LOUD']","['Ascent', 'Icebox', 'Sunset']","['omen', 'jett', 'sova', 'cypher', 'kayo', 'breach', 'omen', 'kayo', 'viper', 'phoenix', 'cypher', 'killjoy', 'omen', 'viper', 'kayo', 'breach', 'omen', 'harbor', 'viper', 'breach', 'sova', 'phoenix', 'jett', 'killjoy', 'deadlock', 'gekko', 'viper', 'kayo', 'harbor', 'viper', 'sova', 'jett', 'killjoy', 'fade', 'cypher', 'breach', 'raze', 'omen', 'viper', 'sova', 'omen', 'breach', 'phoenix']",['13'],[]
"['Evil Geniuses', 'LOUD']","['Ascent', 'Icebox', 'Sunset']","['omen', 'jett', 'sova', 'cypher', 'kayo', 'breach', 'omen', 'kayo', 'viper', 'phoenix', 'cypher', 'killjoy', 'omen', 'viper', 'kayo', 'breach', 'omen', 'harbor', 'viper', 'breach', 'sova', 'phoenix', 'jett', 'killjoy', 'deadlock', 'gekko', 'viper', 'kayo', 'harbor', 'viper', 'sova', 'jett', 'killjoy', 'fade', 'cypher', 'breach', 'raze', 'omen', 'viper', 'sova', 'omen', 'breach', 'phoenix']",['13'],[]
"['NRG Esports', 'Sentinels']","['Sunset', 'Ascent', 'Split']","['omen', 'viper', 'cypher', 'jett', 'skye', 'omen', 'raze', 'kayo', 'gekko', 'cypher', 'omen', 'viper', 'skye', 'kayo', 'jett', 'omen', 'kayo', 'viper', 'omen', 'cypher', 'raze', 'jett', 'kayo', 'killjoy', 'jett', 'sova', 'omen', 'kayo', 'jett', 'sova', 'omen', 'cypher', 'viper', 'omen', 'raze', 'breach', 'skye', 'cypher', 'viper', 'omen', 'skye', 'raze']",['14'],[]
"['NRG Esports', 'Sentinels']","['Sunset', 'Ascent', 'Split']","['omen', 'viper', 'cypher', 'jett', 'skye', 'omen', 'raze', 'kayo', 'gekko', 'cypher', 'omen', 'viper', 'skye', 'kayo', 'jett', 'omen', 'kayo', 'viper', 'omen', 'cypher', 'raze', 'jett', 'kayo', 'killjoy', 'jett', 'sova', 'omen', 'kayo', 'jett', 'sova', 'omen', 'cypher', 'viper', 'omen', 'raze', 'breach', 'skye', 'cypher', 'viper', 'omen', 'skye', 'raze']",['14'],[]
"['NRG Esports', 'Sentinels']","['Sunset', 'Ascent', 'Split']","['omen', 'viper', 'cypher', 'jett', 'skye', 'omen', 'raze', 'kayo', 'gekko', 'cypher', 'omen', 'viper', 'skye', 'kayo', 'jett', 'omen', 'kayo', 'viper', 'omen', 'cypher', 'raze', 'jett', 'kayo', 'killjoy', 'jett', 'sova', 'omen', 'kayo', 'jett', 'sova', 'omen', 'cypher', 'viper', 'omen', 'raze', 'breach', 'skye', 'cypher', 'viper', 'omen', 'skye', 'raze']",['14'],[]
"['LOUD', 'Sentinels']","['Sunset', 'Split', 'Icebox', 'Bind', 'Lotus']","['viper', 'omen', 'breach', 'phoenix', 'sova', 'omen', 'gekko', 'raze', 'cypher', 'kayo', 'viper', 'breach', 'sova', 'raze', 'jett', 'cypher', 'viper', 'viper', 'omen', 'breach', 'raze', 'skye', 'raze', 'omen', 'viper', 'skye', 'cypher', 'harbor', 'viper', 'sova', 'killjoy', 'jett', 'kayo', 'viper', 'killjoy', 'jett', 'gekko', 'brimstone', 'phoenix', 'breach', 'kayo', 'viper', 'raze', 'viper', 'yoru', 'brimstone', 'skye', 'phoenix', 'viper', 'omen', 'breach', 'skye', 'raze', 'fade', 'viper', 'omen', 'killjoy']",['9'],[]
"['LOUD', 'Sentinels']","['Sunset', 'Split', 'Icebox', 'Bind', 'Lotus']","['viper', 'omen', 'breach', 'phoenix', 'sova', 'omen', 'gekko', 'raze', 'cypher', 'kayo', 'viper', 'breach', 'sova', 'raze', 'jett', 'cypher', 'viper', 'viper', 'omen', 'breach', 'raze', 'skye', 'raze', 'omen', 'viper', 'skye', 'cypher', 'harbor', 'viper', 'sova', 'killjoy', 'jett', 'kayo', 'viper', 'killjoy', 'jett', 'gekko', 'brimstone', 'phoenix', 'breach', 'kayo', 'viper', 'raze', 'viper', 'yoru', 'brimstone', 'skye', 'phoenix', 'viper', 'omen', 'breach', 'skye', 'raze', 'fade', 'viper', 'omen', 'killjoy']",['9'],[]
"['LOUD', 'Sentinels']","['Sunset', 'Split', 'Icebox', 'Bind', 'Lotus']","['viper', 'omen', 'breach', 'phoenix', 'sova', 'omen', 'gekko', 'raze', 'cypher', 'kayo', 'viper', 'breach', 'sova', 'raze', 'jett', 'cypher', 'viper', 'viper', 'omen', 'breach', 'raze', 'skye', 'raze', 'omen', 'viper', 'skye', 'cypher', 'harbor', 'viper', 'sova', 'killjoy', 'jett', 'kayo', 'viper', 'killjoy', 'jett', 'gekko', 'brimstone', 'phoenix', 'breach', 'kayo', 'viper', 'raze', 'viper', 'yoru', 'brimstone', 'skye', 'phoenix', 'viper', 'omen', 'breach', 'skye', 'raze', 'fade', 'viper', 'omen', 'killjoy']",['9'],[]
"['LOUD', 'Sentinels']","['Sunset', 'Split', 'Icebox', 'Bind', 'Lotus']","['viper', 'omen', 'breach', 'phoenix', 'sova', 'omen', 'gekko', 'raze', 'cypher', 'kayo', 'viper', 'breach', 'sova', 'raze', 'jett', 'cypher', 'viper', 'viper', 'omen', 'breach', 'raze', 'skye', 'raze', 'omen', 'viper', 'skye', 'cypher', 'harbor', 'viper', 'sova', 'killjoy', 'jett', 'kayo', 'viper', 'killjoy', 'jett', 'gekko', 'brimstone', 'phoenix', 'breach', 'kayo', 'viper', 'raze', 'viper', 'yoru', 'brimstone', 'skye', 'phoenix', 'viper', 'omen', 'breach', 'skye', 'raze', 'fade', 'viper', 'omen', 'killjoy']",['9'],[]
"['LOUD', 'Sentinels']","['Sunset', 'Split', 'Icebox', 'Bind', 'Lotus']","['viper', 'omen', 'breach', 'phoenix', 'sova', 'omen', 'gekko', 'raze', 'cypher', 'kayo', 'viper', 'breach', 'sova', 'raze', 'jett', 'cypher', 'viper', 'viper', 'omen', 'breach', 'raze', 'skye', 'raze', 'omen', 'viper', 'skye', 'cypher', 'harbor', 'viper', 'sova', 'killjoy', 'jett', 'kayo', 'viper', 'killjoy', 'jett', 'gekko', 'brimstone', 'phoenix', 'breach', 'kayo', 'viper', 'raze', 'viper', 'yoru', 'brimstone', 'skye', 'phoenix', 'viper', 'omen', 'breach', 'skye', 'raze', 'fade', 'viper', 'omen', 'killjoy']",['9'],[]
